Date,Open,High,Low,Close,Adj Close,Volume
2018-05-23,154.65,158.00,153.72,157.74,3994000
2018-05-24,157.21,158.40,156.03,157.70,2891000
2018-05-25,156.92,157.57,155.23,155.85,2359700
2018-05-29,154.26,155.72,152.64,153.62,3795800
2018-05-30,154.60,155.98,153.84,155.46,2688200
2018-05-31,155.30,155.31,151.50,151.91,4546000
2018-06-01,153.30,154.19,152.26,153.52,2755500
2018-06-04,154.79,154.93,152.08,152.50,2470900
2018-06-05,152.40,153.10,152.02,153.01,2916600
2018-06-06,153.65,156.54,153.01,156.51,3689300
2018-06-07,157.11,157.93,155.53,156.29,3149100
2018-06-08,156.19,156.65,155.04,155.32,3254100
2018-06-11,155.19,157.08,154.72,156.30,2758300
2018-06-12,156.45,159.19,156.39,157.49,2595600
2018-06-13,157.18,157.35,154.51,154.71,4189300
2018-06-14,155.70,157.36,152.76,153.14,3967600
2018-06-15,150.85,151.00,148.43,150.02,8852500
2018-06-18,148.42,149.46,147.72,148.68,3651600
2018-06-19,146.00,146.30,142.32,143.30,6792000
2018-06-20,144.22,144.69,141.82,143.13,4128300
2018-06-21,142.25,142.39,139.12,139.53,5914900
2018-06-22,140.90,142.50,139.77,139.94,5114700
2018-06-25,138.86,138.98,135.18,136.58,6078200
2018-06-26,136.75,137.33,135.28,135.54,4285300
2018-06-27,136.77,139.46,134.58,134.61,5665000
2018-06-28,134.18,136.72,132.68,136.03,4215900
2018-06-29,136.61,137.85,135.58,135.67,4107900
2018-07-02,133.80,136.43,133.20,136.29,3172600
2018-07-03,137.00,137.35,133.33,133.83,1837400
2018-07-05,135.01,136.09,134.09,135.81,3366300
2018-07-06,135.11,135.86,133.32,135.41,3179600
2018-07-09,136.22,141.05,136.10,140.97,5562300
2018-07-10,141.61,141.86,140.14,141.25,3761700
2018-07-11,138.13,139.39,135.84,136.76,5231700
2018-07-12,138.50,139.73,136.83,139.42,4250800
2018-07-13,139.54,141.25,139.07,140.75,2838700
2018-07-16,140.88,140.88,137.90,138.08,3723100
2018-07-17,136.98,139.33,136.53,138.95,3306000
2018-07-19,139.57,140.54,139.05,139.42,3576700
2018-07-20,138.36,138.58,136.64,136.82,5247000
2018-07-23,136.62,136.80,135.60,136.28,3542300
2018-07-24,138.90,140.60,137.36,137.97,5064700
2018-07-25,138.00,141.05,136.67,140.48,5041800
2018-07-26,140.75,143.55,140.07,142.58,5385600
2018-07-27,143.95,143.95,140.78,142.56,4649400
2018-07-30,145.71,146.70,139.06,139.75,13837700
2018-07-31,141.97,144.78,140.17,143.80,7608700
2018-08-01,142.97,143.07,138.11,138.54,6364500
2018-08-02,137.07,138.71,135.69,138.01,4195000
2018-08-03,138.20,138.60,137.07,138.51,3594100
2018-08-06,138.52,140.67,137.97,139.48,3125200
2018-08-07,140.61,143.32,140.30,142.38,4813000
2018-08-08,142.32,142.40,139.26,139.71,3435100
2018-08-09,140.10,140.90,138.25,138.52,3337000
2018-08-10,137.52,137.52,134.73,135.92,6268600
2018-08-13,135.92,136.73,134.72,135.02,3800900
2018-08-14,135.60,136.45,134.67,134.92,3537900
2018-08-15,133.25,133.25,129.43,132.02,5682200
2018-08-16,133.72,136.55,133.65,136.26,5539400
2018-08-17,135.65,140.21,135.44,139.34,6611700
2018-08-20,139.82,140.55,138.56,138.67,3311100
2018-08-21,139.07,140.96,139.07,139.99,3021400
2018-08-22,140.32,140.70,139.36,139.63,2209500
2018-08-23,139.05,139.17,136.42,136.79,3905300
2018-08-24,137.82,138.55,136.89,138.21,2565400
2018-08-27,139.40,142.38,139.30,142.04,4770900
2018-08-28,143.42,143.77,141.49,142.00,3234000
2018-08-29,142.43,142.59,141.29,141.86,3369900
2018-08-30,141.03,141.47,138.45,139.06,4773300
2018-08-31,138.52,140.22,138.38,138.85,4552200
2018-09-04,137.86,139.00,136.93,138.24,3955600
2018-09-05,138.33,141.10,137.68,140.59,4579400
2018-09-06,140.34,141.87,140.06,141.57,4588100
2018-09-07,140.73,142.14,140.05,141.32,4173400
2018-09-10,141.77,142.51,141.69,142.05,3069100
2018-09-11,140.61,142.45,140.37,142.03,2583200
2018-09-12,141.58,144.75,140.62,144.28,5630600
2018-09-13,145.05,146.46,144.52,145.54,3670700
2018-09-14,145.63,147.20,143.23,144.90,4699600
2018-09-17,144.85,148.06,144.55,146.22,3827100
2018-09-18,147.00,149.28,146.27,149.07,4496400
2018-09-19,149.76,153.11,149.37,152.76,6000100
2018-09-20,155.41,157.72,154.46,156.00,6774100
2018-09-21,156.63,157.29,154.80,156.38,5932100
2018-09-24,156.00,156.10,153.77,154.00,3844500
2018-09-25,154.12,154.50,152.81,154.09,3454600
2018-09-26,153.95,155.15,152.89,153.17,3096100
2018-09-27,153.02,154.05,151.20,152.47,2674100
2018-09-28,152.00,152.91,150.56,152.49,3599900
2018-10-01,153.61,154.50,151.68,152.28,3736300
2018-10-02,152.29,155.38,151.50,154.82,4344000
2018-10-03,156.00,159.37,155.79,158.22,6043300
2018-10-04,158.03,158.55,155.20,156.75,4130800
2018-10-05,156.51,156.81,151.61,153.31,4955100
2018-10-08,151.95,153.66,150.88,153.35,3463200
2018-10-09,152.61,152.61,149.08,149.46,4996900
2018-10-10,148.70,149.17,143.72,143.72,9419300
2018-10-11,142.95,145.89,139.84,140.97,7608300
2018-10-12,144.02,144.40,139.75,142.07,5596200
2018-10-15,142.00,143.18,141.12,141.80,3741700
2018-10-16,143.35,143.89,141.27,143.71,3573400
2018-10-17,143.08,143.52,141.11,141.34,4807500
2018-10-19,136.19,136.93,131.27,131.32,7055100
2018-10-22,132.68,133.13,128.66,128.71,7858900
2018-10-23,119.68,122.50,115.62,118.98,24113300
2018-10-24,120.00,121.64,112.25,112.34,15304200
2018-10-25,114.83,117.09,112.50,115.63,13568900
2018-10-26,114.10,116.43,112.36,115.05,10820400
2018-10-29,116.88,118.35,112.06,113.98,8069600
2018-10-30,114.00,117.74,113.10,117.46,8057600
2018-10-31,119.41,122.89,119.26,121.32,10341300
2018-11-01,122.59,125.23,120.94,124.70,10138900
2018-11-02,127.05,128.30,124.26,125.79,7683900
2018-11-05,126.09,126.95,124.55,126.41,4844200
2018-11-06,126.40,129.50,126.31,129.33,4728200
2018-11-07,133.52,135.22,130.88,135.10,7551900
2018-11-08,133.83,134.70,130.90,131.39,6269400
2018-11-09,129.59,129.60,125.73,126.91,7248400
2018-11-12,127.18,128.41,124.59,125.00,5870100
2018-11-13,125.50,129.79,125.28,125.96,5820200
2018-11-14,127.27,129.00,123.73,125.10,5516300
2018-11-15,124.32,130.28,123.13,129.42,5815200
2018-11-16,128.79,131.92,128.05,129.96,5957700
2018-11-19,129.15,129.49,125.60,125.98,5385600
2018-11-20,123.85,123.97,121.23,122.27,7746200
2018-11-21,122.82,126.22,122.51,123.87,4759500
2018-11-23,121.96,124.05,121.57,122.32,3130100
2018-11-26,123.65,125.79,123.16,124.80,4696600
2018-11-27,124.00,124.60,122.39,124.60,4049400
2018-11-28,125.30,130.78,123.84,130.77,5745200
2018-11-29,130.80,130.91,127.59,130.23,4999600
2018-11-30,130.05,135.97,129.84,135.67,8458200
2018-12-03,141.88,142.41,138.53,138.95,9365800
2018-12-04,138.08,138.08,129.04,129.32,8113400
2018-12-06,125.22,128.69,124.05,128.37,6595200
2018-12-07,129.10,129.98,122.75,123.55,6413700
2018-12-10,122.41,124.37,121.16,123.39,5970900
2018-12-11,127.18,127.98,122.25,123.24,4449900
2018-12-12,125.74,127.97,125.10,125.37,5544100
2018-12-13,126.45,129.11,125.04,125.90,4544100
2018-12-14,123.42,127.74,123.15,126.77,4483300
2018-12-17,126.80,127.65,123.68,124.47,5662300
2018-12-18,125.87,128.75,123.60,124.27,5377900
2018-12-19,125.07,128.95,120.80,122.33,6416500
2018-12-20,121.74,124.54,120.76,121.55,7563500
2018-12-21,121.73,123.73,119.57,120.07,10034100
2018-12-24,118.17,119.59,116.67,116.95,2986600
2018-12-26,118.00,124.77,116.09,124.76,5093700
2018-12-27,121.80,126.69,120.93,126.67,4599000
2018-12-28,127.13,128.25,125.05,125.61,3813500
2018-12-31,126.60,128.11,124.50,127.07,3455200
2019-01-02,124.03,127.88,123.00,126.38,4783200
2019-01-03,125.31,125.50,120.44,121.51,6165800
2019-01-04,124.17,128.59,123.70,128.15,5456600
2019-01-07,128.59,129.60,126.70,128.23,4653400
2019-01-08,129.90,131.50,128.23,129.77,4202600
2019-01-09,131.09,132.22,129.91,130.27,4865600
2019-01-10,128.61,133.12,127.25,132.96,3418500
2019-01-11,131.08,132.32,130.05,132.10,2908600
2019-01-14,130.31,132.39,129.13,131.80,4482300
2019-01-15,132.11,133.11,129.56,130.69,3224100
2019-01-16,130.76,132.52,130.24,131.66,3636900
2019-01-18,135.10,137.72,133.66,136.60,6122400
2019-01-22,134.93,134.94,131.17,132.24,5188700
